aircraft_id,bomb_id,display_name,nation_guess,mass_kg,mass_bucket,explosive_mass_kg,caliber_mm,drag_coef,length_m,diameter_m,velocity_limit,source_file,preset_names,match_source,is_matched,sandbox_allowed,notes
b_29,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,B29_12x1000lbs | B29_40x500lbs | B29_8x2000lbs | B29_default | b-29_4x4000lbs,weaponPresets_bombguns_structural,yes,yes,
b_34,us_250lb_anm57,us_250lb_anm57,USA,117.9,100-249 kg,58.5,0.274,,1.214,,,us_250lb_anm57.blkx,b_34_250lbs_bombs | b_34_500lbs_bombs | b_34_torp,weaponPresets_bombguns_structural,yes,yes,
b_34,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,b_34_250lbs_bombs | b_34_500lbs_bombs | b_34_torp,weaponPresets_bombguns_structural,yes,yes,
b_57,us_1000lb_anm65_cone,us_1000lb_anm65_cone,USA,500.76,500-999 kg,269.9,0.477,,2.313,,,us_1000lb_anm65_cone.blkx,b-57_6x1000lbs | b-57_9x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_57,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,b-57_6x1000lbs | b-57_9x500lbs,weaponPresets_bombguns_structural,yes,yes,
ba_65_a80,it_100kg_m_vert,it_100kg_m_vert,Italy,109.0,100-249 kg,27.3,0.25,,1.26,,,it_100kg_m_vert.blkx,ba_65_a80_2x100kg_t | ba_65_a80_4x100kg_t | ba_65_a80_4x50kg_t | ba_65_a80_default,weaponPresets_bombguns_structural,yes,yes,
ba_65_a80,it_100kg_t,it_100kg_t,Italy,100.0,100-249 kg,50.6,0.27,,1.3,,,it_100kg_t.blkx,ba_65_a80_2x100kg_t | ba_65_a80_4x100kg_t | ba_65_a80_4x50kg_t | ba_65_a80_default,weaponPresets_bombguns_structural,yes,yes,
ba_65_a80,it_50kg_t_vert,it_50kg_t_vert,Italy,58.0,<100 kg,25.0,0.252,,1.03,,,it_50kg_t_vert.blkx,ba_65_a80_2x100kg_t | ba_65_a80_4x100kg_t | ba_65_a80_4x50kg_t | ba_65_a80_default,weaponPresets_bombguns_structural,yes,yes,
ba_65_k14_l,it_100kg_m_vert,it_100kg_m_vert,Italy,109.0,100-249 kg,27.3,0.25,,1.26,,,it_100kg_m_vert.blkx,ba_65_k14_l_2x100kg_t | ba_65_k14_l_4x100kg_t | ba_65_k14_l_4x50kg_t | ba_65_k14_l_default,weaponPresets_bombguns_structural,yes,yes,
ba_65_k14_l,it_100kg_t,it_100kg_t,Italy,100.0,100-249 kg,50.6,0.27,,1.3,,,it_100kg_t.blkx,ba_65_k14_l_2x100kg_t | ba_65_k14_l_4x100kg_t | ba_65_k14_l_4x50kg_t | ba_65_k14_l_default,weaponPresets_bombguns_structural,yes,yes,
ba_65_k14_l,it_50kg_t_vert,it_50kg_t_vert,Italy,58.0,<100 kg,25.0,0.252,,1.03,,,it_50kg_t_vert.blkx,ba_65_k14_l_2x100kg_t | ba_65_k14_l_4x100kg_t | ba_65_k14_l_4x50kg_t | ba_65_k14_l_default,weaponPresets_bombguns_structural,yes,yes,
beaufighter_mk6c,uk_250lbs_mc_mk1_mk2_bomb,uk_250lbs_mc_mk1_mk2_bomb,Great Britain,102.0,100-249 kg,51.0,0.254,,1.41,,,uk_250lbs_mc_mk1_mk2_bomb.blkx,beaufighter_mk6c_default | beaufighter_mk6c_mc250_bomb | beaufighter_mk6c_mc500_bomb | beaufighter_mk6c_torpedo,weaponPresets_bombguns_structural,yes,yes,
beaufighter_mk6c,uk_500lb_mc_mk1_mk4_long_tail_bomb,uk_500lb_mc_mk1_mk4_long_tail_bomb,Great Britain,231.7,100-249 kg,100.7,0.327,,1.793,,,uk_500lb_mc_mk1_mk4_long_tail_bomb.blkx,beaufighter_mk6c_default | beaufighter_mk6c_mc250_bomb | beaufighter_mk6c_mc500_bomb | beaufighter_mk6c_torpedo,weaponPresets_bombguns_structural,yes,yes,
beaufort_mkviii,uk_250lbs,uk_250lbs,Great Britain,104.3,100-249 kg,30.7,0.259,,1.422,,,uk_250lbs.blkx,beaufort_mkviii_250gp | beaufort_mkviii_500gp | beaufort_mkviii_500sap | beaufort_mkviii_default | beaufort_mkviii_torpedo,weaponPresets_bombguns_structural,yes,yes,
beaufort_mkviii,uk_500lb_sap_mkii_ap,uk_500lb_sap_mkii_ap,Great Britain,222.3,100-249 kg,40.01,0.292,,1.575,,,uk_500lb_sap_mkii_ap.blkx,beaufort_mkviii_250gp | beaufort_mkviii_500gp | beaufort_mkviii_500sap | beaufort_mkviii_default | beaufort_mkviii_torpedo,weaponPresets_bombguns_structural,yes,yes,
beaufort_mkviii,uk_500lbs,uk_500lbs,Great Britain,213.1,100-249 kg,65.5,0.327,,1.793,,,uk_500lbs.blkx,beaufort_mkviii_250gp | beaufort_mkviii_500gp | beaufort_mkviii_500sap | beaufort_mkviii_default | beaufort_mkviii_torpedo,weaponPresets_bombguns_structural,yes,yes,
bf_109e_1,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109E-3_4xSC50 | Bf-109E-3_SC250 | Bf-109E-3_SC500 | Bf-109E-3_default,weaponPresets_bombguns_structural,yes,yes,
bf_109e_1,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109E-3_4xSC50 | Bf-109E-3_SC250 | Bf-109E-3_SC500 | Bf-109E-3_default,weaponPresets_bombguns_structural,yes,yes,
bf_109e_1,de_sc500,de_sc500,Germany,500.0,500-999 kg,260.0,0.457,,2.032,,,de_sc500.blkx,Bf-109E-3_4xSC50 | Bf-109E-3_SC250 | Bf-109E-3_SC500 | Bf-109E-3_default,weaponPresets_bombguns_structural,yes,yes,
bf_109e_3,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109E-3_4xSC50 | Bf-109E-3_SC250 | Bf-109E-3_SC500 | Bf-109E-3_default,weaponPresets_bombguns_structural,yes,yes,
bf_109e_3,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109E-3_4xSC50 | Bf-109E-3_SC250 | Bf-109E-3_SC500 | Bf-109E-3_default,weaponPresets_bombguns_structural,yes,yes,
bf_109e_3,de_sc500,de_sc500,Germany,500.0,500-999 kg,260.0,0.457,,2.032,,,de_sc500.blkx,Bf-109E-3_4xSC50 | Bf-109E-3_SC250 | Bf-109E-3_SC500 | Bf-109E-3_default,weaponPresets_bombguns_structural,yes,yes,
bf_109e_4,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109E-3_SC500 | Bf-109E-4_4xSC50 | Bf-109E-4_SC250 | Bf-109E-4_default | Bf-109E-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109e_4,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109E-3_SC500 | Bf-109E-4_4xSC50 | Bf-109E-4_SC250 | Bf-109E-4_default | Bf-109E-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109e_4,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109E-3_SC500 | Bf-109E-4_4xSC50 | Bf-109E-4_SC250 | Bf-109E-4_default | Bf-109E-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109e_4,de_sc500,de_sc500,Germany,500.0,500-999 kg,260.0,0.457,,2.032,,,de_sc500.blkx,Bf-109E-3_SC500 | Bf-109E-4_4xSC50 | Bf-109E-4_SC250 | Bf-109E-4_default | Bf-109E-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109e_7,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109E-3_SC500 | Bf-109E-7_4xSC50 | Bf-109E-7_SC250 | Bf-109E-7_default | bf_109e-7_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109e_7,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109E-3_SC500 | Bf-109E-7_4xSC50 | Bf-109E-7_SC250 | Bf-109E-7_default | bf_109e-7_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109e_7,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109E-3_SC500 | Bf-109E-7_4xSC50 | Bf-109E-7_SC250 | Bf-109E-7_default | bf_109e-7_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109e_7,de_sc500,de_sc500,Germany,500.0,500-999 kg,260.0,0.457,,2.032,,,de_sc500.blkx,Bf-109E-3_SC500 | Bf-109E-7_4xSC50 | Bf-109E-7_SC250 | Bf-109E-7_default | bf_109e-7_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_1,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109F-1_4xSC50 | Bf-109F-1_SC250 | Bf-109F-1_default | Bf-109F-1_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_1,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109F-1_4xSC50 | Bf-109F-1_SC250 | Bf-109F-1_default | Bf-109F-1_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_1,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109F-1_4xSC50 | Bf-109F-1_SC250 | Bf-109F-1_default | Bf-109F-1_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_2,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109F-1_flamm_250 | Bf-109F-2_4xSC50 | Bf-109F-2_SC250 | Bf-109F-2_default | Bf-109F-2_rz65_rocket,weaponPresets_bombguns_structural,yes,yes,
bf_109f_2,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109F-1_flamm_250 | Bf-109F-2_4xSC50 | Bf-109F-2_SC250 | Bf-109F-2_default | Bf-109F-2_rz65_rocket,weaponPresets_bombguns_structural,yes,yes,
bf_109f_2,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109F-1_flamm_250 | Bf-109F-2_4xSC50 | Bf-109F-2_SC250 | Bf-109F-2_default | Bf-109F-2_rz65_rocket,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4_hungary,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4_hungary,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4_hungary,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4_trop,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4_trop,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109f_4_trop,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109F-4_4xSC50 | Bf-109F-4_R1 | Bf-109F-4_SC250 | Bf-109F-4_default | Bf-109F-4_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_10,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-10_R6 | Bf-109G-10_SC250 | Bf-109G-10_cannons | Bf-109G-10_default | Bf-109G-10_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_10,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-10_R6 | Bf-109G-10_SC250 | Bf-109G-10_cannons | Bf-109G-10_default | Bf-109G-10_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_14,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-14_R6 | Bf-109G-14_SC250 | Bf-109G-14_cannons | Bf-109G-14_default | bf_109g-14_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_14,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-14_R6 | Bf-109G-14_SC250 | Bf-109G-14_cannons | Bf-109G-14_default | bf_109g-14_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_14as,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-14_R6 | Bf-109G-14_SC250 | Bf-109G-14_cannons | Bf-109G-14_default | bf_109g-14_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_14as,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-14_R6 | Bf-109G-14_SC250 | Bf-109G-14_cannons | Bf-109G-14_default | bf_109g-14_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_finland,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_finland,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_finland,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_hungary,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_hungary,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_hungary,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_romania,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_romania,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_2_romania,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109G-2_4xSC50 | Bf-109G-2_R6 | Bf-109G-2_SC250 | Bf-109G-2_default | Bf-109G-2_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6_erla_finland,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6_erla_finland,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6_erla_finland,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6_finland,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6_finland,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109g_6_finland,de_sc50,de_sc50,Germany,50.0,<100 kg,25.0,0.203,,1.1,,,de_sc50.blkx,Bf-109G-6_4xSC50 | Bf-109G-6_R6 | Bf-109G-6_SC250 | Bf-109G-6_W | Bf-109G-6_cannons | Bf-109G-6_default | Bf-109G-6_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109k_4,de_sc500,de_sc500,Germany,500.0,500-999 kg,260.0,0.457,,2.032,,,de_sc500.blkx,Bf_109K4_cannon | Bf_109K4_default | bf-109k-4_1xsc500,weaponPresets_bombguns_structural,yes,yes,
bf_109z,de_flam_250,de_flam_250,Germany,110.0,100-249 kg,50.0,0.368,,1.638,,,de_flam_250.blkx,bf-109z_1xsc250 | bf-109z_default | bf-109z_flamm_250,weaponPresets_bombguns_structural,yes,yes,
bf_109z,de_sc250,de_sc250,Germany,250.0,250-499 kg,125.0,0.368,,1.638,,,de_sc250.blkx,bf-109z_1xsc250 | bf-109z_default | bf-109z_flamm_250,weaponPresets_bombguns_structural,yes,yes,
blenheim_mkiv,uk_250lbs,uk_250lbs,Great Britain,104.3,100-249 kg,30.7,0.259,,1.422,,,uk_250lbs.blkx,BlenheimMKIV_bombs | BlenheimMKIV_default | BlenheimMKIV_nobombs | blenheim_mkiv_2_500lb | blenheim_mkiv_2_500lb_sap,weaponPresets_bombguns_structural,yes,yes,
blenheim_mkiv,uk_500lb_sap_mkii_ap,uk_500lb_sap_mkii_ap,Great Britain,222.3,100-249 kg,40.01,0.292,,1.575,,,uk_500lb_sap_mkii_ap.blkx,BlenheimMKIV_bombs | BlenheimMKIV_default | BlenheimMKIV_nobombs | blenheim_mkiv_2_500lb | blenheim_mkiv_2_500lb_sap,weaponPresets_bombguns_structural,yes,yes,
blenheim_mkiv,uk_500lbs,uk_500lbs,Great Britain,213.1,100-249 kg,65.5,0.327,,1.793,,,uk_500lbs.blkx,BlenheimMKIV_bombs | BlenheimMKIV_default | BlenheimMKIV_nobombs | blenheim_mkiv_2_500lb | blenheim_mkiv_2_500lb_sap,weaponPresets_bombguns_structural,yes,yes,
boomerang_mkii,uk_250lbs,uk_250lbs,Great Britain,104.3,100-249 kg,30.7,0.259,,1.422,,,uk_250lbs.blkx,boomerang_250lb_bombs | boomerang_default,weaponPresets_bombguns_structural,yes,yes,
boston_mk_1,uk_500lbs,uk_500lbs,Great Britain,213.1,100-249 kg,65.5,0.327,,1.793,,,uk_500lbs.blkx,boston_mk_1_bombs | boston_mk_1_default,weaponPresets_bombguns_structural,yes,yes,
br_20_dr,it_100kg_t,it_100kg_t,Italy,100.0,100-249 kg,50.6,0.27,,1.3,,,it_100kg_t.blkx,br_20_12x100kg_t | br_20_12x50kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp,weaponPresets_bombguns_structural,yes,yes,
br_20_dr,it_250kg_gp,it_250kg_gp,Italy,259.0,250-499 kg,125.7,0.43,,1.85,,,it_250kg_gp.blkx,br_20_12x100kg_t | br_20_12x50kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp,weaponPresets_bombguns_structural,yes,yes,
br_20_dr,it_500kg_gp,it_500kg_gp,Italy,508.0,500-999 kg,216.0,0.45,,2.4,,,it_500kg_gp.blkx,br_20_12x100kg_t | br_20_12x50kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp,weaponPresets_bombguns_structural,yes,yes,
br_20_dr,it_50kg_t,it_50kg_t,Italy,58.0,<100 kg,25.0,0.252,,1.03,,,it_50kg_t.blkx,br_20_12x100kg_t | br_20_12x50kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp,weaponPresets_bombguns_structural,yes,yes,
br_20_dr,it_800kg_gp,it_800kg_gp,Italy,821.6,500-999 kg,357.0,0.45,,3.2,,,it_800kg_gp.blkx,br_20_12x100kg_t | br_20_12x50kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp,weaponPresets_bombguns_structural,yes,yes,
br_20m_m1,it_100kg_t,it_100kg_t,Italy,100.0,100-249 kg,50.6,0.27,,1.3,,,it_100kg_t.blkx,br_20_12x100kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp | br_20_default,weaponPresets_bombguns_structural,yes,yes,
br_20m_m1,it_250kg_gp,it_250kg_gp,Italy,259.0,250-499 kg,125.7,0.43,,1.85,,,it_250kg_gp.blkx,br_20_12x100kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp | br_20_default,weaponPresets_bombguns_structural,yes,yes,
br_20m_m1,it_500kg_gp,it_500kg_gp,Italy,508.0,500-999 kg,216.0,0.45,,2.4,,,it_500kg_gp.blkx,br_20_12x100kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp | br_20_default,weaponPresets_bombguns_structural,yes,yes,
br_20m_m1,it_50kg_t,it_50kg_t,Italy,58.0,<100 kg,25.0,0.252,,1.03,,,it_50kg_t.blkx,br_20_12x100kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp | br_20_default,weaponPresets_bombguns_structural,yes,yes,
br_20m_m1,it_800kg_gp,it_800kg_gp,Italy,821.6,500-999 kg,357.0,0.45,,3.2,,,it_800kg_gp.blkx,br_20_12x100kg_t | br_20_2x500kg_gp | br_20_2x800kg_gp | br_20_4x250kg_gp | br_20_default,weaponPresets_bombguns_structural,yes,yes,
br_693_ab2,fr_50kg_gammn,fr_50kg_gammn,France,53.0,<100 kg,29.0,0.2,,1.03,,,fr_50kg_gammn.blkx,br_693_ab2_8x50kg_gammn | br_693_ab2_default,weaponPresets_bombguns_structural,yes,yes,
